timeStamp block azimuth verticalAngle distance x y z reflectivity
1244459876 1 190.61 -1 71.136 -13.0958 -69.9092 -1.24149 63
1244459876 1 191.01 -1 71.036 -13.5644 -69.7179 -1.23975 63
1244459876 1 191.41 11 78.376 -15.2201 -75.4155 14.9548 61
1244459876 1 191.41 -1 71.236 -14.0904 -69.8175 -1.24324 63
1244459876 1 192.21 11 78.444 -16.2857 -75.2609 14.9678 61
1244461203 1 198.56 11 67.272 -21.0191 -62.6016 12.8361 43
1244462530 1 202.53 11 55.236 -20.7758 -50.0829 10.5395 27
1244462530 1 202.93 11 55.388 -21.183 -50.0741 10.5685 27
1244462530 1 202.93 15 57.886 -21.7843 -51.4954 14.982 59
1244462530 1 203.34 7 56.754 -22.3176 -51.7214 6.91657 41
1244462530 1 203.34 11 55.208 -21.4708 -49.759 10.5342 27
1244462530 1 203.72 11 55.572 -21.9441 -49.9426 10.6036 28
1244462530 1 203.72 -1 63.044 -25.3567 -57.7094 -1.10027 63
1244462530 1 204.12 -1 63.244 -25.8407 -57.7135 -1.10376 63
1244462530 1 204.54 -9 55.686 -22.8432 -50.0323 -8.71121 63
1244462530 1 204.54 11 56.336 -22.968 -50.3057 10.7494 28
1244462530 1 204.54 -1 57.58 -23.911 -52.3709 -1.00491 63
1244463857 1 204.92 11 56.236 -23.2598 -50.0632 10.7303 28
1244463857 1 205.32 5 54.434 -23.1914 -49.0175 4.74424 63
1244463857 1 205.32 -5 57.814 -24.6314 -52.0611 -5.03882 63
1244463857 1 205.32 -3 53.128 -22.6903 -47.9584 -2.7805 63
1244463857 1 205.32 -1 57.304 -24.5037 -51.7911 -1.00009 63
1244463857 1 205.71 1 52.854 -22.9254 -47.6143 0.92243 51
1244463857 1 205.71 7 52.43 -22.5755 -46.8874 6.38961 34
1244463857 1 205.71 -1 57.16 -24.7932 -51.4934 -0.99758 63
1244463857 1 206.11 1 52.674 -23.1781 -47.2915 0.919288 51
1244463857 1 206.11 -7 59.924 -26.1757 -53.4077 -7.3029 63
1244463857 1 206.11 -5 54.614 -23.9439 -48.8541 -4.75992 63
1244463857 1 206.11 11 61.132 -26.4096 -53.885 11.6645 33
1244463857 1 206.52 1 52.786 -23.5659 -47.2246 0.921243 51
1244463857 1 206.52 -11 52.496 -23.0093 -46.1093 -10.0167 63
1244463857 1 206.52 5 53.266 -23.6933 -47.4799 4.64244 63
1244463857 1 206.52 7 52.21 -23.1385 -46.3682 6.3628 34
1244463857 1 206.52 11 61.132 -26.7946 -53.6946 11.6645 33
1244463857 1 206.52 -3 53.328 -23.7789 -47.6514 -2.79097 63
1244463857 1 206.52 -1 50.828 -22.6918 -45.4729 -0.887071 63
1244463857 1 206.91 -11 52.696 -23.4115 -46.1267 -10.0549 63
1244463857 1 206.91 7 51.682 -23.2164 -45.7423 6.29845 33
1244463857 1 206.91 -7 54.764 -24.6009 -48.4701 -6.67405 63
1244463857 1 206.91 11 56.936 -25.2952 -49.8381 10.8639 29
1244463857 1 206.91 -1 50.812 -22.9935 -45.3031 -0.886792 63
1244463857 1 207.31 1 53.126 -24.3707 -47.1972 0.927177 51
1244463857 1 207.31 -11 52.348 -23.5762 -45.6586 -9.98847 63
1244463857 1 207.31 5 52.338 -23.9215 -46.3273 4.56156 63
1244463857 1 207.31 -9 57.558 -26.0828 -50.5128 -9.00406 63
1244463857 1 207.31 11 57.256 -25.7867 -49.9394 10.925 29
1244463857 1 207.31 -3 53.928 -24.7085 -47.8514 -2.82237 63
1244463857 1 207.31 -1 50.656 -23.2377 -45.0029 -0.884069 63
1244463857 1 207.7 1 61.918 -28.7777 -54.8135 1.08062 63
1244463857 1 207.7 11 57.468 -26.2227 -49.947 10.9654 29
1244463857 1 208.11 11 59.36 -27.4545 -51.3962 11.3264 31
1244463857 1 208.11 -1 50.498 -23.7893 -44.5347 -0.881312 63
1244463857 1 208.5 7 53.258 -25.2231 -46.4552 6.49052 36
1244463857 1 208.5 -5 49.558 -23.557 -43.3867 -4.31926 62
1244463857 1 208.5 11 54.412 -25.4861 -46.9396 10.3823 27
1244463857 1 208.5 -3 51.008 -24.3056 -44.7653 -2.66955 63
1244463857 1 208.5 -1 50.698 -24.1873 -44.5475 -0.884802 63
1244463857 1 208.9 3 51.276 -24.7468 -44.8288 2.68358 63
1244463857 1 208.9 -9 50.99 -24.3392 -44.0903 -7.97659 63
1244463857 1 208.9 -7 56.028 -26.8755 -48.6849 -6.8281 63
1244463857 1 208.9 -5 49.794 -23.973 -43.427 -4.33983 63
1244463857 1 208.9 -3 51 -24.6136 -44.5875 -2.66913 63
1244463857 1 208.9 -1 50.658 -24.4784 -44.3425 -0.884104 63
1244463857 1 209.3 -13 54.68 -26.0736 -46.4626 -12.3003 63
1244463857 1 209.3 -11 55.292 -26.5618 -47.3325 -10.5502 63
1244463857 1 209.3 -9 50.242 -24.2848 -43.2751 -7.85958 63
1244463857 1 209.3 7 50.81 -24.6802 -43.9796 6.19218 32
1244463857 1 209.3 -5 49.766 -24.2619 -43.2342 -4.33739 63
1244463857 1 209.3 11 54.484 -26.1736 -46.6409 10.396 27
1244465184 1 209.68 -13 54.852 -26.4641 -46.4343 -12.339 63
1244465184 1 209.68 3 49.88 -24.6645 -43.2766 2.61052 63
1244465184 1 209.68 -5 49.682 -24.5067 -42.9997 -4.33007 63
1244465184 1 209.68 11 58.536 -28.4519 -49.922 11.1692 30
1244465184 1 209.68 -1 53.09 -26.2838 -46.1178 -0.926548 63
1244465184 1 210.08 5 50.966 -25.4474 -43.9344 4.44198 63
1244465184 1 210.08 -7 56.98 -28.346 -48.9388 -6.94412 63
1244465184 1 210.08 -5 49.822 -24.8762 -42.9482 -4.34227 63
1244465184 1 210.08 11 58.732 -28.8962 -49.8886 11.2066 30
1244465184 1 210.08 -1 53.374 -26.7474 -46.1789 -0.931505 63
1244465184 1 210.48 -7 57.728 -29.0635 -49.3795 -7.03527 63
1244465184 1 210.48 -5 49.722 -25.1249 -42.6877 -4.33356 63
1244465184 1 210.48 11 59.22 -29.4867 -50.0985 11.2997 30
1244465184 1 210.48 -1 47.826 -24.2554 -41.2105 -0.834679 63
1244465184 1 210.88 1 48.73 -25.0065 -41.8159 0.850456 41
1244465184 1 210.88 -7 59.124 -30.1187 -50.3646 -7.2054 63
1244465184 1 210.88 -3 47.964 -24.5834 -41.1084 -2.51024 55
1244465184 1 210.88 -1 48.362 -24.8176 -41.5001 -0.844033 63
1244465184 1 211.27 -11 51.056 -26.0148 -42.8374 -9.74194 63
1244465184 1 211.27 7 50.518 -26.027 -42.8574 6.1566 31
