timeStamp block azimuth verticalAngle distance x y z reflectivity
1244458549 2 190.415 -1 71.736 -12.7261 -70.5871 -1.25197 63
1244459876 1 190.61 -1 71.136 -13.0958 -69.9092 -1.24149 63
1244459876 2 190.81 -1 70.808 -13.0354 -69.5868 -1.23577 63
1244459876 1 191.01 -1 71.036 -13.5644 -69.7179 -1.23975 63
1244459876 2 191.21 11 78.316 -14.682 -75.4621 14.9434 60
1244459876 2 191.21 -1 71.108 -13.5782 -69.7886 -1.24101 63
1244459876 1 191.41 11 78.376 -15.2201 -75.4155 14.9548 61
1244459876 1 191.41 -1 71.236 -14.0904 -69.8175 -1.24324 63
1244459876 2 191.61 11 78.076 -15.1619 -75.1268 14.8976 60
1244459876 2 192.01 11 78.316 -15.7342 -75.2498 14.9434 60
1244459876 1 192.21 11 78.444 -16.2857 -75.2609 14.9678 61
1244459876 2 192.405 5 73.846 -15.5587 -71.9009 6.4361 63
1244459876 2 192.405 11 78.168 -16.2284 -74.9961 14.9152 60
1244459876 2 193.205 11 78.644 -17.3791 -75.2174 15.006 61
1244461203 1 198.56 11 67.272 -21.0191 -62.6016 12.8361 43
1244461203 2 198.76 11 67.188 -20.9929 -62.5234 12.8201 43
1244462530 2 202.34 11 55.236 -20.4431 -50.2196 10.5395 27
1244462530 1 202.53 11 55.236 -20.7758 -50.0829 10.5395 27
1244462530 2 202.73 11 55.408 -20.8405 -50.2389 10.5723 27
1244462530 1 202.93 11 55.388 -21.183 -50.0741 10.5685 27
1244462530 1 202.93 15 57.886 -21.7843 -51.4954 14.982 59
1244462530 2 203.135 11 55.2 -21.1111 -49.9041 10.5327 27
1244462530 2 203.135 15 58.186 -21.8972 -51.7623 15.0596 60
1244462530 1 203.34 7 56.754 -22.3176 -51.7214 6.91657 41
1244462530 1 203.34 11 55.208 -21.4708 -49.759 10.5342 27
1244462530 2 203.53 11 55.436 -21.5595 -49.9645 10.5777 27
1244462530 1 203.72 11 55.572 -21.9441 -49.9426 10.6036 28
1244462530 1 203.72 -1 63.044 -25.3567 -57.7094 -1.10027 63
1244462530 2 203.92 11 55.2 -21.7972 -49.6083 10.5327 27
1244462530 2 203.92 15 56.214 -21.8425 -49.7115 14.5493 56
1244462530 1 204.12 -1 63.244 -25.8407 -57.7135 -1.10376 63
1244462530 2 204.33 1 57.722 -23.5844 -52.6744 1.00739 59
1244462530 2 204.33 11 61.876 -24.821 -55.4361 11.8065 34
1244462530 1 204.54 -9 55.686 -22.8432 -50.0323 -8.71121 63
1244462530 1 204.54 11 56.336 -22.968 -50.3057 10.7494 28
1244462530 1 204.54 -1 57.58 -23.911 -52.3709 -1.00491 63
1244462530 2 204.73 -7 62.92 -25.9377 -56.8099 -7.66802 63
1244462530 2 204.73 11 55.936 -22.805 -49.9485 10.6731 28
1244462530 2 204.73 -1 57.452 -23.8578 -52.2545 -1.00268 63
1244463857 1 204.92 11 56.236 -23.2598 -50.0632 10.7303 28
1244463857 2 205.12 5 54.266 -22.7781 -49.0264 4.72959 63
1244463857 2 205.12 -9 55.142 -22.9482 -49.3924 -8.62611 63
1244463857 2 205.12 11 62.552 -25.8722 -55.686 11.9355 35
1244463857 2 205.12 -3 53.328 -22.4391 -48.2967 -2.79097 63
1244463857 1 205.32 5 54.434 -23.1914 -49.0175 4.74424 63
1244463857 1 205.32 -5 57.814 -24.6314 -52.0611 -5.03882 63
1244463857 1 205.32 -3 53.128 -22.6903 -47.9584 -2.7805 63
1244463857 1 205.32 -1 57.304 -24.5037 -51.7911 -1.00009 63
1244463857 2 205.515 1 53.026 -22.6744 -47.9247 0.925431 51
1244463857 2 205.515 -9 55.758 -23.5526 -49.781 -8.72247 63
1244463857 2 205.515 11 61.132 -25.6642 -54.244 11.6645 33
1244463857 2 205.515 -1 57.3 -24.502 -51.7875 -1.00002 63
1244463857 1 205.71 1 52.854 -22.9254 -47.6143 0.92243 51
1244463857 1 205.71 7 52.43 -22.5755 -46.8874 6.38961 34
1244463857 1 205.71 -1 57.16 -24.7932 -51.4934 -0.99758 63
1244463857 2 205.91 1 52.626 -22.8265 -47.4089 0.91845 51
1244463857 2 205.91 7 52.478 -22.5961 -46.9303 6.39546 34
1244463857 2 205.91 9 53.034 -22.7238 -47.1954 8.29635 42
1244463857 2 205.91 11 61.532 -26.2032 -54.4218 11.7409 34
1244463857 1 206.11 1 52.674 -23.1781 -47.2915 0.919288 51
1244463857 1 206.11 -7 59.924 -26.1757 -53.4077 -7.3029 63
1244463857 1 206.11 -5 54.614 -23.9439 -48.8541 -4.75992 63
1244463857 1 206.11 11 61.132 -26.4096 -53.885 11.6645 33
1244463857 2 206.315 1 52.806 -23.2362 -47.41 0.921592 51
1244463857 2 206.315 -11 52.572 -22.7116 -46.3397 -10.0312 63
1244463857 2 206.315 -9 57.386 -24.9444 -50.8954 -8.97715 63
1244463857 2 206.315 7 52.138 -22.7747 -46.4684 6.35402 34
1244463857 2 206.315 -7 59.924 -26.1757 -53.4077 -7.3029 63
1244463857 2 206.315 -5 54.714 -23.9878 -48.9435 -4.76864 63
1244463857 2 206.315 11 58.236 -25.1585 -51.3323 11.112 30
1244463857 1 206.52 1 52.786 -23.5659 -47.2246 0.921243 51
1244463857 1 206.52 -11 52.496 -23.0093 -46.1093 -10.0167 63
1244463857 1 206.52 5 53.266 -23.6933 -47.4799 4.64244 63
1244463857 1 206.52 7 52.21 -23.1385 -46.3682 6.3628 34
1244463857 1 206.52 11 61.132 -26.7946 -53.6946 11.6645 33
1244463857 1 206.52 -3 53.328 -23.7789 -47.6514 -2.79097 63
1244463857 1 206.52 -1 50.828 -22.6918 -45.4729 -0.887071 63
1244463857 2 206.715 7 51.858 -22.9825 -46.0556 6.3199 33
1244463857 2 206.715 -7 63.72 -28.2396 -56.5903 -7.76551 63
1244463857 2 206.715 -5 54.486 -24.236 -48.5674 -4.74877 63
1244463857 2 206.715 -1 50.936 -22.74 -45.5695 -0.888956 63
1244463857 1 206.91 -11 52.696 -23.4115 -46.1267 -10.0549 63
1244463857 1 206.91 7 51.682 -23.2164 -45.7423 6.29845 33
1244463857 1 206.91 -7 54.764 -24.6009 -48.4701 -6.67405 63
1244463857 1 206.91 11 56.936 -25.2952 -49.8381 10.8639 29
1244463857 1 206.91 -1 50.812 -22.9935 -45.3031 -0.886792 63
1244463857 2 207.11 -11 52.196 -23.1894 -45.689 -9.95947 63
1244463857 2 207.11 7 52.41 -23.5435 -46.3866 6.38717 34
1244463857 2 207.11 -7 54.728 -24.5847 -48.4382 -6.66967 63
1244463857 2 207.11 -5 54.814 -24.7139 -48.6927 -4.77735 63
1244463857 2 207.11 11 57.036 -25.3397 -49.9256 10.883 29
1244463857 2 207.11 -1 50.736 -22.9591 -45.2353 -0.885465 63
1244463857 1 207.31 1 53.126 -24.3707 -47.1972 0.927177 51
1244463857 1 207.31 -11 52.348 -23.5762 -45.6586 -9.98847 63
1244463857 1 207.31 5 52.338 -23.9215 -46.3273 4.56156 63
1244463857 1 207.31 -9 57.558 -26.0828 -50.5128 -9.00406 63
1244463857 1 207.31 11 57.256 -25.7867 -49.9394 10.925 29
1244463857 1 207.31 -3 53.928 -24.7085 -47.8514 -2.82237 63
1244463857 1 207.31 -1 50.656 -23.2377 -45.0029 -0.884069 63
1244463857 2 207.505 1 53.126 -24.3707 -47.1972 0.927177 51
1244463857 2 207.505 -11 52.416 -23.6069 -45.7179 -10.0014 63
1244463857 2 207.505 5 52.466 -23.98 -46.4406 4.57271 63
1244463857 2 207.505 7 51.898 -23.6336 -45.7696 6.32478 33
1244463857 2 207.505 11 57.216 -25.7687 -49.9045 10.9173 29
1244463857 2 207.505 -1 50.34 -23.0927 -44.7221 -0.878554 63
1244463857 1 207.7 1 61.918 -28.7777 -54.8135 1.08062 63
1244463857 1 207.7 11 57.468 -26.2227 -49.947 10.9654 29
1244463857 2 207.905 -11 52.096 -23.7715 -45.278 -9.94039 63
1244463857 2 207.905 11 57.536 -26.2538 -50.0061 10.9784 29
1244463857 1 208.11 11 59.36 -27.4545 -51.3962 11.3264 31
1244463857 1 208.11 -1 50.498 -23.7893 -44.5347 -0.881312 63
1244463857 2 208.305 -11 52.224 -24.1541 -45.2176 -9.96481 63
1244463857 2 208.305 -3 59.62 -28.0524 -52.5154 -3.12027 63
1244463857 2 208.305 -1 50.546 -23.8119 -44.577 -0.882149 63
1244463857 1 208.5 7 53.258 -25.2231 -46.4552 6.49052 36
1244463857 1 208.5 -5 49.558 -23.557 -43.3867 -4.31926 62
1244463857 1 208.5 11 54.412 -25.4861 -46.9396 10.3823 27
1244463857 1 208.5 -3 51.008 -24.3056 -44.7653 -2.66955 63
1244463857 1 208.5 -1 50.698 -24.1873 -44.5475 -0.884802 63
1244463857 2 208.7 -11 52.368 -24.5288 -45.1763 -9.99229 63
1244463857 2 208.7 5 51.066 -24.2739 -44.7069 4.4507 63
1244463857 2 208.7 7 53.358 -25.2705 -46.5424 6.5027 36
1244463857 2 208.7 -5 49.538 -23.5475 -43.3692 -4.31752 62
1244463857 2 208.7 -3 50.928 -24.2674 -44.6951 -2.66537 63
1244463857 2 208.7 15 60.582 -27.9222 -51.4264 15.6798 63
1244463857 1 208.9 3 51.276 -24.7468 -44.8288 2.68358 63
